product_id,product_name,category,price
3000,Product_3000,Accessory,326.6
3001,Product_3001,Gadget,29.18
3002,Product_3002,Gadget,356.73
3003,Product_3003,Accessory,495.58
3004,Product_3004,Tool,266.79
3005,Product_3005,Accessory,308.8
3006,Product_3006,Tool,188.31
3007,Product_3007,Gadget,459.79
3008,Product_3008,Accessory,199.83
3009,Product_3009,Accessory,389.49
3010,Product_3010,Tool,342.66
3011,Product_3011,Accessory,35.66
3012,Product_3012,Gadget,319.13
3013,Product_3013,Accessory,173.98
3014,Product_3014,Gadget,171.55
3015,Product_3015,Gadget,283.4
3016,Product_3016,Tool,199.42
3017,Product_3017,Tool,133.48
3018,Product_3018,Gadget,427.27
3019,Product_3019,Tool,482.56
3020,Product_3020,Tool,305.32
3021,Product_3021,Gadget,83.68
3022,Product_3022,Accessory,49.94
3023,Product_3023,Accessory,335.17
3024,Product_3024,Tool,459.21
3025,Product_3025,Tool,162.01
3026,Product_3026,Gadget,331.47
3027,Product_3027,Gadget,334.45
3028,Product_3028,Gadget,73.19
3029,Product_3029,Gadget,357.33
3030,Product_3030,Accessory,51.51
3031,Product_3031,Gadget,283.87
3032,Product_3032,Gadget,325.31
3033,Product_3033,Tool,170.95
3034,Product_3034,Gadget,72.62
3035,Product_3035,Tool,354.39
3036,Product_3036,Gadget,474.08
3037,Product_3037,Gadget,498.61
3038,Product_3038,Tool,457.1
3039,Product_3039,Accessory,55.79
3040,Product_3040,Accessory,338.52
3041,Product_3041,Tool,259.16
3042,Product_3042,Tool,18.93
3043,Product_3043,Accessory,161.34
3044,Product_3044,Tool,476.07
3045,Product_3045,Tool,177.45
3046,Product_3046,Tool,385.42
3047,Product_3047,Tool,104.08
3048,Product_3048,Tool,499.99
3049,Product_3049,Accessory,85.92
3050,Product_3050,Tool,154.94
3051,Product_3051,Accessory,396.18
3052,Product_3052,Gadget,258.77
3053,Product_3053,Accessory,274.49
3054,Product_3054,Gadget,371.94
3055,Product_3055,Accessory,268.0
3056,Product_3056,Accessory,334.35
3057,Product_3057,Tool,439.43
3058,Product_3058,Accessory,312.84
3059,Product_3059,Accessory,302.65
3060,Product_3060,Tool,85.58
3061,Product_3061,Gadget,98.61
3062,Product_3062,Accessory,349.49
3063,Product_3063,Tool,316.12
3064,Product_3064,Gadget,452.3
3065,Product_3065,Accessory,363.38
3066,Product_3066,Accessory,31.41
3067,Product_3067,Accessory,188.51
3068,Product_3068,Gadget,362.6
3069,Product_3069,Gadget,485.1
3070,Product_3070,Accessory,309.19
3071,Product_3071,Accessory,378.67
3072,Product_3072,Gadget,394.06
3073,Product_3073,Tool,124.66
3074,Product_3074,Gadget,127.19
3075,Product_3075,Tool,483.14
3076,Product_3076,Tool,394.34
3077,Product_3077,Tool,452.95
3078,Product_3078,Accessory,105.07
3079,Product_3079,Accessory,342.37
3080,Product_3080,Tool,289.51
3081,Product_3081,Tool,225.89
3082,Product_3082,Tool,387.02
3083,Product_3083,Gadget,391.28
3084,Product_3084,Accessory,256.42
3085,Product_3085,Tool,215.14
3086,Product_3086,Tool,89.41
3087,Product_3087,Gadget,107.85
3088,Product_3088,Accessory,306.29
3089,Product_3089,Tool,437.77
3090,Product_3090,Accessory,35.57
3091,Product_3091,Tool,245.49
3092,Product_3092,Gadget,191.89
3093,Product_3093,Gadget,467.8
3094,Product_3094,Accessory,358.59
3095,Product_3095,Gadget,262.8
3096,Product_3096,Accessory,71.09
3097,Product_3097,Tool,51.1
3098,Product_3098,Gadget,88.55
3099,Product_3099,Tool,230.17
